5;Москва;2
3;Нижнекамск;1
4;Альметьевск;1
2;Набережные Челны;1
6;Абрамцево;2
7;Алабино;2
9;Архангельское;2
10;Ашитково;2
11;Байконур;2
12;Бакшеево;2
13;Балашиха;2
14;Барыбино;2
15;Белоомут;2
16;Белые Столбы;2
17;Бородино;2
18;Бронницы;2
19;Быково;2
20;Валуево;2
21;Вербилки;2
22;Верея;2
23;Видное;2
24;Внуково;2
25;Вождь Пролетариата;2
26;Волоколамск;2
27;Вороново;2
28;Воскресенск;2
29;Восточный;2
30;Востряково;2
31;Высоковск;2
32;Голицино;2
34;Дедовск;2
35;Джержинский;2
36;Дмитров;2
37;Долгопрудный;2
38;Домодедово;2
39;Дорохово;2
40;Дрезна;2
41;Дубки;2
42;Дубна;2
43;Егорьевск;2
44;Железнодорожный;2
45;Жилево;2
46;Жуковский;2
47;Загорск;2
48;Загорянский;2
49;Запрудная;2
50;Зарайск;2
51;Звенигород;2
52;Зеленоград;2
53;Ивантеевка;2
54;Икша;2
55;Ильинский;2
56;Истра;2
58;Кашира;2
59;Керва;2
60;Климовск;2
61;Клин;2
62;Клязьма;2
63;Кожино;2
64;Кокошкино;2
65;Коломна;2
66;Колюбакино;2
67;Королев;2
68;Косино;2
69;Котельники;2
70;Красково;2
71;Красноармейск;2
72;Красногорск;2
73;Краснозаводск;2
74;Краснознаменск;2
75;Красный Ткач;2
76;Крюково;2
77;Кубинка;2
78;Купавна;2
79;Куровское;2
81;Ликино-Дулево;2
82;Лобня;2
83;Лопатинский;2
84;Лосино-Петровский;2
85;Лотошино;2
86;Лукино;2
87;Луховицы;2
88;Лыткарино;2
89;Львовский;2
90;Люберцы;2
177;Санкт-Петербург;3
7519;Великий Новгород;41
92;Михайловское;2
93;Михнево;2
94;Можайск;2
95;Монино;2
96;Муханово;2
97;Мытищи;2
98;Нарофоминск;2
99;Нахабино;2
100;Некрасовка;2
101;Немчиновка;2
102;Новобратцевский;2
103;Новоподрезково;2
104;Ногинск;2
105;Обухово;2
106;Одинцово;2
107;Ожерелье;2
108;Озеры;2
110;Опалиха;2
111;Орехово-Зуево;2
112;Павловский Посад;2
113;Первомайский;2
114;Пески;2
115;Пироговский;2
116;Подольск;2
117;Полушкино;2
118;Правдинский;2
119;Привокзальный;2
120;Пролетарский;2
121;Протвино;2
122;Пушкино;2
123;Пущино;2
124;Радовицкий;2
125;Раменское;2
126;Реутов;2
127;Решетниково;2
128;Родники;2
129;Рошаль;2
130;Рублево;2
131;Руза;2
132;Салтыковка;2
133;Северный;2
135;Серебряные Пруды;2
136;Серпухов;2
137;Солнечногорск;2
138;Солнцево;2
139;Софрино;2
140;Старая Купавна;2
141;Старбеево;2
142;Ступино;2
143;Сходня;2
144;Талдом;2
145;Текстильщик;2
146;Темпы;2
147;Тишково;2
148;Томилино;2
149;Троицк;2
150;Туголесский Бор;2
151;Тучково;2
152;Уваровка;2
153;Удельная;2
154;Успенское;2
155;Фирсановка;2
156;Фосфоритный;2
157;Фрязино;2
158;Фряново;2
159;Химки;2
160;Хорлово;2
162;Черкизово;2
163;Черноголовка;2
164;Черусти;2
165;Чехов;2
166;Шарапово;2
167;Шатура;2
168;Шатурторф;2
169;Шаховская;2
170;Шереметьевский;2
171;Щелково;2
172;Щербинка;2
173;Электрогорск;2
174;Электросталь;2
175;Электроугли;2
176;Яхрома;2
